date,vader_sentiment,finbert_sentiment
2008-08-08,-0.9061,0.0
2008-08-11,0.5149,0.0
2008-08-12,-0.6652,-1.0
2008-08-13,-0.9584,-1.0
2008-08-14,-0.5267,-1.0
2008-08-15,-0.1695,-1.0
2008-08-18,-0.9231,-1.0
2008-08-19,-0.9371,-1.0
2008-08-20,-0.9186,0.0
2008-08-21,-0.891,0.0
2008-08-22,0.5563,0.0
2008-08-25,-0.9658,-1.0
2008-08-26,-0.9393,-1.0
2008-08-27,-0.802,0.0
2008-08-28,-0.25,0.0
2008-08-29,-0.7506,-1.0
2008-09-02,-0.9432,-1.0
2008-09-03,0.6486,0.0
2008-09-04,-0.8436,1.0
2008-09-05,-0.9485,-1.0
2008-09-08,-0.9382,-1.0
2008-09-09,-0.8439,0.0
2008-09-10,-0.9001,-1.0
2008-09-11,-0.6103,-1.0
2008-09-12,-0.6535,0.0
2008-09-15,-0.923,-1.0
2008-09-16,-0.8982,-1.0
2008-09-17,-0.7717,0.0
2008-09-18,-0.9228,-1.0
2008-09-19,-0.9517,-1.0
2008-09-22,-0.2617,1.0
2008-09-23,-0.9201,0.0
2008-09-24,-0.7506,0.0
2008-09-25,-0.8802,0.0
2008-09-26,0.4588,0.0
2008-09-29,-0.8957,0.0
2008-09-30,-0.3167,0.0
2008-10-01,0.3323,-1.0
2008-10-02,-0.6705,-1.0
2008-10-03,-0.9485,0.0
2008-10-06,-0.3818,-1.0
2008-10-07,-0.6705,0.0
2008-10-08,-0.34,0.0
2008-10-09,-0.8834,-1.0
2008-10-10,0.5994,-1.0
2008-10-13,0.6705,0.0
2008-10-14,-0.7644,0.0
2008-10-15,0.101,0.0
2008-10-16,-0.6597,0.0
2008-10-17,-0.4588,0.0
2008-10-20,0.9042,0.0
2008-10-21,-0.2732,0.0
2008-10-22,0.4215,0.0
2008-10-23,-0.7264,-1.0
2008-10-24,-0.93,-1.0
2008-10-27,-0.7579,-1.0
2008-10-28,-0.9638,-1.0
2008-10-29,-0.931,0.0
2008-10-30,-0.8805,-1.0
2008-10-31,-0.9336,0.0
2008-11-03,-0.128,0.0
2008-11-04,0.6369,-1.0
2008-11-05,-0.3818,0.0
2008-11-06,-0.9237,0.0
2008-11-07,-0.0258,0.0
2008-11-10,-0.891,0.0
2008-11-11,-0.8074,0.0
2008-11-12,-0.9509,-1.0
2008-11-13,0.7506,-1.0
2008-11-14,0.7789,0.0
2008-11-17,-0.463,0.0
2008-11-18,-0.9514,-1.0
2008-11-19,-0.7003,-1.0
2008-11-20,-0.743,0.0
2008-11-21,-0.8689,-1.0
2008-11-24,-0.8225,0.0
2008-11-25,0.2263,0.0
2008-11-26,-0.836,0.0
2008-11-28,0.6172,0.0
2008-12-01,-0.743,-1.0
2008-12-02,-0.9136,0.0
2008-12-03,0.5106,0.0
2008-12-04,-0.616,-1.0
2008-12-05,-0.9349,0.0
2008-12-08,-0.2626,0.0
2008-12-09,0.5574,-1.0
2008-12-10,-0.9705,-1.0
2008-12-11,0.8658,-1.0
2008-12-12,-0.9442,0.0
2008-12-15,-0.4019,0.0
2008-12-16,-0.886,-1.0
2008-12-17,-0.9623,0.0
2008-12-18,0.4404,0.0
2008-12-19,-0.9493,-1.0
2008-12-22,-0.946,-1.0
2008-12-23,-0.8402,-1.0
2008-12-24,-0.6908,0.0
2008-12-26,-0.9231,-1.0
2008-12-29,-0.9337,0.0
2008-12-30,-0.9469,-1.0
2008-12-31,-0.836,-1.0
2009-01-02,-0.6634,0.0
2009-01-05,-0.9062,-1.0
2009-01-06,-0.6705,0.0
2009-01-07,-0.9201,-1.0
2009-01-08,-0.8074,-1.0
2009-01-09,-0.8885,0.0
2009-01-12,-0.8487,0.0
2009-01-13,-0.9313,-1.0
2009-01-14,-0.9509,-1.0
2009-01-15,-0.7722,-1.0
2009-01-16,-0.5266,-1.0
2009-01-20,-0.9821,0.0
2009-01-21,-0.8074,-1.0
2009-01-22,-0.1531,0.0
2009-01-23,-0.9168,-1.0
2009-01-26,-0.7398,0.0
2009-01-27,-0.9403,-1.0
2009-01-28,-0.8481,-1.0
2009-01-29,0.4767,0.0
2009-01-30,-0.8625,0.0
2009-02-02,0.7269,-1.0
2009-02-03,-0.936,0.0
2009-02-04,-0.9274,-1.0
2009-02-05,-0.5859,-1.0
2009-02-06,-0.3612,0.0
2009-02-09,-0.7351,0.0
2009-02-10,-0.5574,1.0
2009-02-11,-0.0772,-1.0
2009-02-12,-0.7845,-1.0
2009-02-13,-0.9732,0.0
2009-02-17,-0.5994,0.0
2009-02-18,-0.8316,-1.0
2009-02-19,-0.3628,0.0
2009-02-20,-0.9136,-1.0
2009-02-23,0.743,0.0
2009-02-24,-0.5574,0.0
2009-02-25,-0.7432,-1.0
2009-02-26,0.6117,-1.0
2009-02-27,-0.8271,-1.0
2009-03-02,-0.875,0.0
2009-03-03,-0.9623,0.0
2009-03-04,-0.9249,0.0
2009-03-05,-0.7595,-1.0
2009-03-06,-0.9446,-1.0
2009-03-09,0.2732,0.0
2009-03-10,-0.7184,-1.0
2009-03-11,-0.7845,0.0
2009-03-12,-0.9661,0.0
2009-03-13,-0.8705,0.0
2009-03-16,-0.9423,-1.0
2009-03-17,-0.9595,0.0
2009-03-18,-0.7717,0.0
2009-03-19,-0.9645,-1.0
2009-03-20,-0.9393,0.0
2009-03-23,-0.967,0.0
2009-03-24,-0.8442,0.0
2009-03-25,-0.9477,-1.0
2009-03-26,-0.8513,-1.0
2009-03-27,-0.9854,-1.0
2009-03-30,-0.8552,0.0
2009-03-31,-0.8709,-1.0
2009-04-01,0.3802,0.0
2009-04-02,0.128,-1.0
