stock,date,title,description
TCS,2026-02-20,What We Expect Canon to Announce in the Coming Months,"The latest round of announcements from Canon brought us a couple of cool lenses in the RF 14 F1.4 L VCM and RF 7-14 F2.8-3.5 L Fisheye Zoom. Both lenses have been the topic of lots of discussion and from what we have heard from a few retailers, they have been…"
TCS,2026-02-20,23-Years-Owned 1995 Acura NSX-T,"This 1995 Acura NSX-T shows 59k miles through the current owner's purchase in 2003, and it is powered by a 3.0-liter VTEC V6 paired with a four-speed automatic transaxle. Finished in Berlina Black over tan leather, the car is equipped with 16"" and 17"" ICW Rac…"
TCS,2026-02-21,"Climate Change is Not Going to Cost Colorado Billions, Colorado Sun","A recent Colorado Sun article claims that climate change could cost the state up to $37 billion due to high temperature extremes and drought. This is false, built almost entirely on speculative claims about future weather and ignores the fact that reductions …"
TCS,2026-02-20,IT stocks slide as Wall Street weakness and AI disruption fears weigh on domestic markets,"Wipro hits 52-week low, Infosys, TCS, HCLTech, Persistent Systems under pressure"
TCS,2026-02-20,"TCS, Cisco set up CoE for autonomous enterprise operations",TCS and Cisco launch a Centre of Excellence in Hyderabad to advance autonomous enterprise operations and enhance business agility.
TCS,2026-02-20,IT leaders reject claims of crisis in the IT services model,"“You can be afraid and not do anything, but I think we should be forward-leaning and train as many people as possible,” says TCS CEO Krithivasan said"
TCS,2026-02-20,IT leaders reject claims of crisis in the IT services model,"“You can be afraid and not do anything, but I think we should be forward-leaning and train as many people as possible,” says TCS CEO Krithivasan said"
TCS,2026-02-20,How we catch and mitigate performance regressions at scale in Jira Cloud,"In this story, the Jira Cloud team explains how they detect and mitigate performance regressions that only affect a small slice of tenants, long before global metrics show a problem. By combining per‑tenant, per‑endpoint statistical detection with an AI‑drive…"
TCS,2026-02-22,"‘People, scale, infectious optimism’: Here’s why India could be the new kid on the AI block","From cheap GPUs to soil sensors and real-time translation, New Delhi’s AI summit signals a bid to lead AI for the Global South Read Full Article at RT.com"
TCS,2026-02-20,Double tax trouble? Here are 5 changes that draft Income Tax Rules 2026 must address,"Draft Income-Tax Rules 2026 aim for voluntary compliance but require crucial changes to prevent taxpayers from paying twice. Key issues include protecting deductees from deductor defaults, rationalizing Tax Collected at Source (TCS) for NRIs, automating exces…"
TCS,2026-02-21,Indian IT captains hold firm amid raging agentic AI storm,"K Krithivasan, chief executive officer and managing director of Tata Consultancy Services (TCS), said while it’s not clear exactly what the roles will be a few years down the line due to disruption owing to AI, he does not envisage a “significant shrinkage” t…"
TCS,2026-02-22,"Mcap of six of top 10 valued firms climbs Rs 63,000 cr; L&T, SBI biggest gainers","The combined market valuation of six of the top-10 valued firms climbed Rs 63,478.46 crore last week, led by Larsen & Toubro and State Bank of India, which emerged as the biggest winners."
TCS,2026-02-20,"Amazon is giving you another shot at the new Navee XT5 Pro long-range off-road e-scooter for a $1,100 low (Reg. $1,500)","The official Navee Amazon storefront is once again offering the best price we have seen yet on the new XT5 Pro Long-Range Off-Road Electric Scooter for $1,099.99 shipped, after clipping the on-page $500 off coupon, dropping the price $200 under the brand’s di…"
TCS,2026-02-20,AI in India: Is it a prosperity engine or mobility killer?,"AI won’t automatically deliver prosperity to India—it could just as easily harden inequality and stall mobility. The real battle isn’t about frontier models, but diffusion, redesign and institutional will. At stake: a dual-speed nation, quiet aspiration colla…"
TCS,2026-02-22,"BFSI, retail have seen big AI adoption in India; sovereign cloud requirements rising: ServiceNow COO","The US-based firm has partnered with top IT sector companies, such as TCS, Cognizant, LTIMindtree and Tech Mahindra, among others, and will look to have more such collaborations in the near future, according to a top company official."
TCS,2026-02-20,"Top gainers & losers of Nifty 50 this week: L&T, ITC, Eternal, M&M, Kwality Wall’s in action","This week, Nifty 50 saw L&T, ITC, and Bajaj Finance gain, while Eternal, M&M, and Kwality Wall’s declined significantly."
TCS,2026-02-20,"Indian IT companies returned Rs 4.8 lakh crore cash to shareholders, spent little on R&D. Will the AI cost prove existential?","Indian IT stocks face a sharp correction amid concerns over AI disruption and low R&D investment. Aequitas highlights heavy shareholder payouts over reinvestment, raising long-term competitiveness questions. While risks to revenue and margins persist, experts…"
TCS,2026-02-20,Tata Investment Corp. shares rises 18% in 5 days on N Chandrasekaran’s likely third term at Tata Sons,"Tata Investment Corporation shares have surged over 18% in five days, driven by speculation that N Chandrasekaran will secure a third term as Tata Sons Chairman. This development is significant as Tata Sons holds a majority stake in the company. The stock's r…"
TCS,2026-02-22,Code unknown: What is spooking IT stocks?,The latest developments in AI are threatening to upend the business models of IT services companies. And more pain could be in store for their stocks.
TCS,2026-02-22,"Mcap of six of top 10 valued firms climbs ₹63,000 cr; L&T, SBI biggest gainers","Larsen & Toubro, State Bank of India (SBI), HDFC Bank, Life Insurance Corporation of India (LIC), Bajaj Finance, and Reliance Industries were the gainers, while Bharti Airtel, ICICI Bank, Infosys, and Tata Consultancy Services saw their valuations erode"
TCS,2026-02-20,OpenAI says 18 to 24-year-olds account for nearly 50% of ChatGPT usage in India | TechCrunch,"The company said on Friday that users between 18 and 24 years of age account for nearly 50% of all messages sent by Indians to ChatGPT, and users under 30 accounted for 80% of usage in the country."
TCS,2026-02-20,General Catalyst commits $5B to India over five years | TechCrunch,The pledge marks a sharp jump from General Catalyst's earlier $500 million–$1 billion India earmark.
TCS,2026-02-22,All the important news from the ongoing India AI Impact Summit | TechCrunch,"India is hosting a four-day AI Summit this week that will be attended by executives from major AI labs and Big Tech, including OpenAI, Anthropic, Nvidia, Microsoft, Google, and Cloudflare, as well as heads of state."
