confidence_quantile,coverage,n_predictions,accuracy,subset_majority,edge,min_confidence
0.0,1.0,388,0.5335,0.5619,-0.0284,0.001
0.1,0.8995,349,0.5473,0.5501,-0.0029,0.0219
0.2,0.799,310,0.529,0.5484,-0.0194,0.0379
0.3,0.6985,271,0.5351,0.5424,-0.0074,0.0554
0.4,0.6005,233,0.5236,0.5322,-0.0086,0.076
0.5,0.5,194,0.5309,0.5515,-0.0206,0.0938
0.6,0.3995,155,0.5419,0.5419,0.0,0.1094
0.7,0.3015,117,0.5299,0.547,-0.0171,0.1256
0.8,0.201,78,0.5897,0.6154,-0.0256,0.1601
0.9,0.1005,39,0.6667,0.7179,-0.0513,0.2228
