confidence_quantile,coverage,n_predictions,accuracy,subset_majority,edge,min_confidence
0.0,1.0,201,0.4577,0.5274,-0.0697,0.0017
0.1,0.9005,181,0.4807,0.5193,-0.0387,0.0222
0.2,0.801,161,0.4969,0.5217,-0.0248,0.0504
0.3,0.7015,141,0.4823,0.5177,-0.0355,0.0729
0.4,0.602,121,0.4876,0.5041,-0.0165,0.1063
0.5,0.5025,101,0.505,0.505,0.0,0.1374
0.6,0.403,81,0.5309,0.5062,0.0247,0.1703
0.7,0.3035,61,0.6066,0.5082,0.0984,0.2146
0.8,0.204,41,0.6098,0.5366,0.0732,0.2646
0.9,0.1045,21,0.7143,0.5238,0.1905,0.3532
