confidence_quantile,coverage,n_predictions,accuracy,subset_majority,edge,min_confidence
0.0,1.0,161,0.6273,0.559,0.0683,0.0003
0.1,0.9006,145,0.6207,0.5862,0.0345,0.025
0.2,0.8012,129,0.6124,0.5581,0.0543,0.0548
0.3,0.7019,113,0.5929,0.5398,0.0531,0.0788
0.4,0.6025,97,0.567,0.5052,0.0619,0.0956
0.5,0.5031,81,0.5432,0.5556,-0.0123,0.1286
0.6,0.4037,65,0.5538,0.5692,-0.0154,0.1444
0.7,0.3043,49,0.5918,0.551,0.0408,0.1755
0.8,0.205,33,0.6061,0.5152,0.0909,0.2194
0.9,0.1056,17,0.5294,0.5294,0.0,0.277
