confidence_quantile,coverage,n_predictions,accuracy,subset_majority,edge,min_confidence
0.0,1.0,389,0.5476,0.5141,0.0334,0.0008
0.1,0.8997,350,0.5486,0.5057,0.0429,0.0211
0.2,0.7995,311,0.5434,0.5177,0.0257,0.0391
0.3,0.6992,272,0.5588,0.5331,0.0257,0.0521
0.4,0.599,233,0.5622,0.5279,0.0343,0.0665
0.5,0.5013,195,0.5538,0.5282,0.0256,0.0866
0.6,0.401,156,0.5577,0.5256,0.0321,0.1039
0.7,0.3008,117,0.5385,0.5385,0.0,0.128
0.8,0.2005,78,0.5128,0.5256,-0.0128,0.1628
0.9,0.1003,39,0.4872,0.5385,-0.0513,0.2105
