confidence_quantile,coverage,n_predictions,accuracy,subset_majority,edge,min_confidence
0.0,1.0,186,0.4839,0.5645,-0.0806,0.0008
0.1,0.8978,167,0.497,0.5808,-0.0838,0.0782
0.2,0.8011,149,0.4966,0.5638,-0.0671,0.1573
0.3,0.6989,130,0.5077,0.5692,-0.0615,0.1907
0.4,0.6022,112,0.5179,0.5536,-0.0357,0.2327
0.5,0.5,93,0.5161,0.5591,-0.043,0.2713
0.6,0.4032,75,0.5333,0.56,-0.0267,0.3295
0.7,0.3011,56,0.5536,0.5357,0.0179,0.3584
0.8,0.2043,38,0.5526,0.5263,0.0263,0.4046
0.9,0.1022,19,0.4211,0.6842,-0.2632,0.4501
