confidence_quantile,coverage,n_predictions,accuracy,subset_majority,edge,min_confidence
0.0,1.0,498,0.4859,0.5522,-0.0663,0.0001
0.1,0.8996,448,0.4911,0.5558,-0.0647,0.0133
0.2,0.7992,398,0.4824,0.5653,-0.0829,0.0223
0.3,0.6988,348,0.477,0.5603,-0.0833,0.033
0.4,0.6004,299,0.4816,0.5552,-0.0736,0.0428
0.5,0.5,249,0.4859,0.5783,-0.0924,0.0553
0.6,0.3996,199,0.4573,0.5628,-0.1055,0.0665
0.7,0.3012,150,0.4533,0.6067,-0.1533,0.0839
0.8,0.2008,100,0.45,0.61,-0.16,0.1078
0.9,0.1004,50,0.52,0.6,-0.08,0.1358
