confidence_quantile,coverage,n_predictions,accuracy,subset_majority,edge,min_confidence
0.0,1.0,389,0.4781,0.5578,-0.0797,0.0018
0.1,0.8997,350,0.4914,0.5714,-0.08,0.0161
0.2,0.7995,311,0.4952,0.5659,-0.0707,0.0298
0.3,0.6992,272,0.4926,0.5588,-0.0662,0.0478
0.4,0.599,233,0.4893,0.5579,-0.0687,0.0651
0.5,0.5013,195,0.4667,0.5538,-0.0872,0.0813
0.6,0.401,156,0.4487,0.5513,-0.1026,0.1016
0.7,0.3008,117,0.4359,0.547,-0.1111,0.1256
0.8,0.2005,78,0.4231,0.5641,-0.141,0.1551
0.9,0.1003,39,0.4103,0.6923,-0.2821,0.2115
