stock,horizon,model,rows,accuracy,std,baseline,edge,permutation
ADANIENT,3,logistic,776,0.5338,0.0809,0.5625,-0.0288,NO SIGNAL
ADANIGREEN,3,logistic,402,0.458,0.0994,0.5272,-0.0691,NO SIGNAL
ETERNAL,3,logistic,322,0.6273,0.1061,0.503,0.1242,SIGNAL
HDFCBANK,3,logistic,780,0.5154,0.0278,0.5128,0.0026,NO SIGNAL
INFY,3,logistic,780,0.5077,0.0605,0.5615,-0.0538,NO SIGNAL
ITC,3,logistic,778,0.5475,0.0247,0.5288,0.0187,NO SIGNAL
RELIANCE,1,logistic,372,0.4679,0.0685,0.5111,-0.0432,NO SIGNAL
SBI,3,logistic,776,0.5023,0.0253,0.5286,-0.0263,NO SIGNAL
TCS,3,logistic,780,0.5333,0.0525,0.5179,0.0154,SIGNAL
VEDL,3,logistic,778,0.4776,0.0717,0.5582,-0.0806,NO SIGNAL
