confidence_quantile,coverage,n_predictions,accuracy,subset_majority,edge,min_confidence
0.0,1.0,653,0.5268,0.5299,-0.0031,0.0
0.1,0.8989,587,0.5298,0.5332,-0.0034,0.0101
0.2,0.7994,522,0.5268,0.5307,-0.0038,0.0217
0.3,0.6998,457,0.5383,0.5274,0.0109,0.0323
0.4,0.6003,392,0.5434,0.5306,0.0128,0.0446
0.5,0.5008,327,0.5505,0.5382,0.0122,0.0572
0.6,0.3997,261,0.5556,0.5479,0.0077,0.0703
0.7,0.3002,196,0.5714,0.5561,0.0153,0.0824
0.8,0.2006,131,0.5802,0.542,0.0382,0.1006
0.9,0.1011,66,0.5606,0.5152,0.0455,0.1223
