stock,confidence_threshold,coverage,n_committed,accuracy,subset_majority,edge
RELIANCE,0.0,1.0,104,0.4231,0.5769,-0.1538
RELIANCE,0.03,0.6058,63,0.4286,0.6667,-0.2381
RELIANCE,0.05,0.3654,38,0.3947,0.6579,-0.2632
RELIANCE,0.08,0.1538,16,0.5,0.5625,-0.0625
RELIANCE,0.1,0.0192,2,0.0,1.0,-1.0
RELIANCE,0.12,0.0192,2,0.0,1.0,-1.0
TCS,0.0,1.0,653,0.5268,0.5299,-0.0031
TCS,0.03,0.7274,475,0.5453,0.5242,0.0211
TCS,0.05,0.5559,363,0.5427,0.5344,0.0083
TCS,0.08,0.3139,205,0.5659,0.5561,0.0098
TCS,0.1,0.2067,135,0.5852,0.5333,0.0519
TCS,0.12,0.1072,70,0.5714,0.5286,0.0429
