model,seed,accuracy,edge
random_forest,0,0.541,0.0231
random_forest,1,0.5436,0.0256
random_forest,7,0.5231,0.0051
random_forest,42,0.5564,0.0385
random_forest,99,0.5308,0.0128
random_forest,123,0.5256,0.0077
random_forest,2024,0.5359,0.0179
gradient_boosting,0,0.5462,0.0282
gradient_boosting,1,0.5462,0.0282
gradient_boosting,7,0.5462,0.0282
gradient_boosting,42,0.5462,0.0282
gradient_boosting,99,0.5462,0.0282
gradient_boosting,123,0.5462,0.0282
gradient_boosting,2024,0.5462,0.0282
logistic,0,0.5333,0.0154
logistic,1,0.5333,0.0154
logistic,7,0.5333,0.0154
logistic,42,0.5333,0.0154
logistic,99,0.5333,0.0154
logistic,123,0.5333,0.0154
logistic,2024,0.5333,0.0154
